Date.td,expiry,totalOI,totalOIdiff,totalOI_itm,totalOIdiff_itm,OI_diff_pct,ITM_pct,OI_ITM_diff_pct
2023-08-02,2023-08-04,$165.41M,($13.14)M,$156.91M,($8.24)M,-8.0%,95%,-5.0%
2023-08-02,2023-08-11,$147.58M,($14.58)M,$122.69M,($5.93)M,-10.0%,83%,-5.0%
2023-08-02,2023-08-18,"$2,505.06M",($77.59)M,"$2,461.98M",($66.01)M,-3.0%,98%,-3.0%
2023-08-02,2023-08-25,$129.36M,($5.64)M,$105.28M,($3.66)M,-4.0%,81%,-4.0%
2023-08-02,2023-09-01,$113.55M,$0.93M,$98.19M,$0.07M,1.0%,86%,0.0%
2023-08-02,2023-09-08,$15.86M,$3.60M,$11.88M,$1.66M,23.0%,75%,14.0%
2023-08-02,2023-09-15,"$2,433.76M",($51.68)M,"$2,320.22M",($38.75)M,-2.0%,95%,-2.0%
2023-08-02,2023-09-29,$389.29M,($5.02)M,$364.15M,($5.42)M,-1.0%,94%,-1.0%
2023-08-02,2023-10-20,$586.36M,($12.35)M,$510.84M,($8.28)M,-2.0%,87%,-2.0%
2023-08-02,2023-11-17,$147.25M,($0.82)M,$115.36M,($0.64)M,-1.0%,78%,-1.0%
2023-08-02,2023-12-15,"$1,519.91M",($12.94)M,"$1,301.78M",($9.38)M,-1.0%,86%,-1.0%
2023-08-01,2023-08-04,$178.56M,$5.69M,$168.04M,$3.78M,3.0%,94%,2.0%
2023-08-01,2023-08-11,$162.16M,$7.60M,$132.03M,$2.99M,5.0%,81%,2.0%
2023-08-01,2023-08-18,"$2,582.65M",$16.25M,"$2,533.98M",$13.49M,1.0%,98%,1.0%
2023-08-01,2023-08-25,$135.00M,$7.84M,$112.29M,$4.06M,6.0%,83%,4.0%
2023-08-01,2023-09-01,$112.62M,$13.85M,$100.28M,$9.19M,12.0%,89%,9.0%
2023-08-01,2023-09-08,$12.25M,$2.15M,$11.05M,$1.65M,18.0%,90%,15.0%
2023-08-01,2023-09-15,"$2,485.44M",$31.58M,"$2,358.97M",$20.77M,1.0%,95%,1.0%
2023-08-01,2023-09-29,$394.31M,$6.36M,$370.47M,$5.67M,2.0%,94%,2.0%
2023-08-01,2023-10-20,$598.70M,$11.21M,$519.12M,$4.54M,2.0%,87%,1.0%
2023-08-01,2023-11-17,$148.06M,$2.51M,$115.99M,$0.96M,2.0%,78%,1.0%
2023-08-01,2023-12-15,"$1,532.85M",$11.02M,"$1,318.59M",($0.70)M,1.0%,86%,0.0%
2023-08-03,2023-08-04,$102.15M,($63.26)M,$94.51M,($42.66)M,-62%,92%,-45%
2023-08-03,2023-08-11,$86.62M,($60.96)M,$68.06M,($26.72)M,-70%,79%,-39%
2023-08-03,2023-08-18,"$2,024.77M",($480.29)M,"$1,926.51M",($383.75)M,-24%,95%,-20%
2023-08-03,2023-08-25,$81.75M,($47.61)M,$53.28M,($21.47)M,-58%,65%,-40%
2023-08-03,2023-09-01,$97.26M,($16.29)M,$64.30M,($2.29)M,-17%,66%,-4%
2023-08-03,2023-09-08,$14.74M,($1.12)M,$5.07M,$1.53M,-8%,34%,30%
2023-08-03,2023-09-15,"$2,060.96M",($372.80)M,"$1,879.67M",($302.70)M,-18%,91%,-16%
2023-08-03,2023-09-29,$317.30M,($71.98)M,$241.38M,($38.44)M,-23%,76%,-16%
2023-08-03,2023-10-20,$499.45M,($86.91)M,$389.54M,($47.25)M,-17%,78%,-12%
2023-08-03,2023-11-17,$132.05M,($15.20)M,$80.91M,($9.77)M,-12%,61%,-12%
2023-08-03,2023-12-15,"$1,325.16M",($194.75)M,"$1,060.36M",($112.32)M,-15%,80%,-11%
2023-08-04,2023-08-04,$110.79M,$8.64M,$96.46M,$1.95M,8.0%,87%,2%
2023-08-04,2023-08-11,$90.55M,$3.92M,$70.09M,$2.03M,4.0%,77%,3%
2023-08-04,2023-08-18,"$2,026.16M",$1.39M,"$1,926.17M",($0.33)M,0.0%,95%,0%
2023-08-04,2023-08-25,$80.86M,($0.88)M,$53.75M,$0.47M,-1.0%,66%,1%
2023-08-04,2023-09-01,$104.68M,$7.42M,$71.34M,$7.04M,7.0%,68%,10%
2023-08-04,2023-09-08,$16.84M,$2.10M,$6.04M,$0.96M,12.0%,36%,16%
2023-08-04,2023-09-15,"$2,066.16M",$5.20M,"$1,882.04M",$2.37M,0.0%,91%,0%
2023-08-04,2023-09-22,$0.25M,$0.25M,$0.06M,$0.06M,100.0%,22%,100%
2023-08-04,2023-09-29,$321.65M,$4.35M,$242.75M,$1.38M,1.0%,76%,1%
2023-08-04,2023-10-20,$514.96M,$15.51M,$400.41M,$10.88M,3.0%,78%,3%
2023-08-04,2023-11-17,$133.29M,$1.24M,$81.18M,$0.27M,1.0%,61%,0%
2023-08-04,2023-12-15,"$1,325.58M",$0.42M,"$1,058.82M",($1.53)M,0.0%,80%,0%
2023-08-07,2023-08-11,$64.48M,($26.06)M,$48.95M,($9.47)M,-40.0%,76%,-19%
2023-08-07,2023-08-18,"$1,840.82M",($185.33)M,"$1,771.82M",($135.62)M,-10.0%,96%,-8%
2023-08-07,2023-08-25,$64.21M,($16.66)M,$42.97M,($5.61)M,-26.0%,67%,-13%
2023-08-07,2023-09-01,$89.04M,($15.63)M,$61.38M,($4.85)M,-18.0%,69%,-8%
2023-08-07,2023-09-08,$15.12M,($1.72)M,$4.25M,($0.20)M,-11.0%,28%,-5%
2023-08-07,2023-09-15,"$1,930.40M",($135.76)M,"$1,762.00M",($96.07)M,-7.0%,91%,-6%
2023-08-07,2023-09-22,$1.13M,$0.88M,$0.24M,$0.20M,78.0%,22%,83%
2023-08-07,2023-09-29,$298.87M,($22.78)M,$233.60M,($8.11)M,-8.0%,78%,-4%
2023-08-07,2023-10-20,$481.70M,($33.26)M,$382.87M,($16.87)M,-7.0%,80%,-4%
2023-08-07,2023-11-17,$121.78M,($11.50)M,$76.37M,($4.81)M,-9.0%,63%,-6%
